1 0 0 0 0
416 6 6 -12 0 10.3923
417 5 7 -12 -1 10.3923
418 4 8 -12 -2 10.3923
419 3 9 -12 -3 10.3923
420 2 10 -12 -4 10.3923
421 1 11 -12 -5 10.3923
422 0 12 -12 -6 10.3923
423 -1 12 -11 -6.5 9.52628
424 -2 12 -10 -7 8.66025
425 -3 12 -9 -7.5 7.79423
426 -4 12 -8 -8 6.9282
427 -5 12 -7 -8.5 6.06218
428 -6 12 -6 -9 5.19615
429 -7 12 -5 -9.5 4.33013
430 -8 12 -4 -10 3.4641
431 -9 12 -3 -10.5 2.59808
432 -10 12 -2 -11 1.73205
433 -11 12 -1 -11.5 0.866025
434 -12 12 0 -12 0
435 -12 11 1 -11.5 -0.866025
436 -12 10 2 -11 -1.73205
437 -12 9 3 -10.5 -2.59808
438 -12 8 4 -10 -3.4641
439 -12 7 5 -9.5 -4.33013
440 -12 6 6 -9 -5.19615
441 -12 5 7 -8.5 -6.06218
442 -12 4 8 -8 -6.9282
443 -12 3 9 -7.5 -7.79423
444 -12 2 10 -7 -8.66025
445 -12 1 11 -6.5 -9.52628
446 -12 0 12 -6 -10.3923
447 -11 -1 12 -5 -10.3923
448 -10 -2 12 -4 -10.3923
449 -9 -3 12 -3 -10.3923
450 -8 -4 12 -2 -10.3923
451 -7 -5 12 -1 -10.3923
452 -6 -6 12 0 -10.3923
453 -5 -7 12 1 -10.3923
454 -4 -8 12 2 -10.3923
455 -3 -9 12 3 -10.3923
456 -2 -10 12 4 -10.3923
457 -1 -11 12 5 -10.3923
458 0 -12 12 6 -10.3923
459 1 -12 11 6.5 -9.52628
460 2 -12 10 7 -8.66025
461 3 -12 9 7.5 -7.79423
462 4 -12 8 8 -6.9282
463 5 -12 7 8.5 -6.06218
464 6 -12 6 9 -5.19615
465 7 -12 5 9.5 -4.33013
466 8 -12 4 10 -3.4641
467 9 -12 3 10.5 -2.59808
468 10 -12 2 11 -1.73205
469 11 -12 1 11.5 -0.866025
470 13 -13 0 13 0
471 13 -12 -1 12.5 0.866025
472 13 -11 -2 12 1.73205
473 13 -10 -3 11.5 2.59808
474 13 -9 -4 11 3.4641
475 13 -8 -5 10.5 4.33013
476 13 -7 -6 10 5.19615
477 13 -6 -7 9.5 6.06218
478 13 -5 -8 9 6.9282
479 13 -4 -9 8.5 7.79423
480 13 -3 -10 8 8.66025
481 13 -2 -11 7.5 9.52628
482 13 -1 -12 7 10.3923
483 13 0 -13 6.5 11.2583
484 12 1 -13 5.5 11.2583
485 11 2 -13 4.5 11.2583
486 10 3 -13 3.5 11.2583
487 9 4 -13 2.5 11.2583
488 8 5 -13 1.5 11.2583
489 7 6 -13 0.5 11.2583
490 6 7 -13 -0.5 11.2583
491 5 8 -13 -1.5 11.2583
492 4 9 -13 -2.5 11.2583
493 3 10 -13 -3.5 11.2583
494 2 11 -13 -4.5 11.2583
495 1 12 -13 -5.5 11.2583
496 0 13 -13 -6.5 11.2583
497 -1 13 -12 -7 10.3923
498 -2 13 -11 -7.5 9.52628
499 -3 13 -10 -8 8.66025
500 -4 13 -9 -8.5 7.79423
501 -5 13 -8 -9 6.9282
502 -6 13 -7 -9.5 6.06218
503 -7 13 -6 -10 5.19615
504 -8 13 -5 -10.5 4.33013
505 -9 13 -4 -11 3.4641
506 -10 13 -3 -11.5 2.59808
507 -11 13 -2 -12 1.73205
508 -12 13 -1 -12.5 0.866025
509 -13 13 0 -13 0
510 -13 12 1 -12.5 -0.866025
511 -13 11 2 -12 -1.73205
512 -13 10 3 -11.5 -2.59808
513 -13 9 4 -11 -3.4641
514 -13 8 5 -10.5 -4.33013
515 -13 7 6 -10 -5.19615
516 -13 6 7 -9.5 -6.06218
517 -13 5 8 -9 -6.9282
518 -13 4 9 -8.5 -7.79423
519 -13 3 10 -8 -8.66025
520 -13 2 11 -7.5 -9.52628
521 -13 1 12 -7 -10.3923
522 -13 0 13 -6.5 -11.2583
523 -12 -1 13 -5.5 -11.2583
524 -11 -2 13 -4.5 -11.2583
525 -10 -3 13 -3.5 -11.2583
526 -9 -4 13 -2.5 -11.2583
527 -8 -5 13 -1.5 -11.2583
528 -7 -6 13 -0.5 -11.2583
529 -6 -7 13 0.5 -11.2583
530 -5 -8 13 1.5 -11.2583
531 -4 -9 13 2.5 -11.2583
532 -3 -10 13 3.5 -11.2583
533 -2 -11 13 4.5 -11.2583
534 -1 -12 13 5.5 -11.2583
535 0 -13 13 6.5 -11.2583
536 1 -13 12 7 -10.3923
537 2 -13 11 7.5 -9.52628
538 3 -13 10 8 -8.66025
539 4 -13 9 8.5 -7.79423
540 5 -13 8 9 -6.9282
541 6 -13 7 9.5 -6.06218
542 7 -13 6 10 -5.19615
543 8 -13 5 10.5 -4.33013
544 9 -13 4 11 -3.4641
545 10 -13 3 11.5 -2.59808
546 11 -13 2 12 -1.73205
547 12 -13 1 12.5 -0.866025
548 14 -14 0 14 0
549 14 -13 -1 13.5 0.866025
550 14 -12 -2 13 1.73205
551 14 -11 -3 12.5 2.59808
552 14 -10 -4 12 3.4641
553 14 -9 -5 11.5 4.33013
554 14 -8 -6 11 5.19615
555 14 -7 -7 10.5 6.06218
556 14 -6 -8 10 6.9282
557 14 -5 -9 9.5 7.79423
558 14 -4 -10 9 8.66025
559 14 -3 -11 8.5 9.52628
560 14 -2 -12 8 10.3923
561 14 -1 -13 7.5 11.2583
562 14 0 -14 7 12.1244
563 13 1 -14 6 12.1244
564 12 2 -14 5 12.1244
565 11 3 -14 4 12.1244
566 10 4 -14 3 12.1244
567 9 5 -14 2 12.1244
568 8 6 -14 1 12.1244
569 7 7 -14 0 12.1244
570 6 8 -14 -1 12.1244
571 5 9 -14 -2 12.1244
572 4 10 -14 -3 12.1244
573 3 11 -14 -4 12.1244
574 2 12 -14 -5 12.1244
575 1 13 -14 -6 12.1244
576 0 14 -14 -7 12.1244
577 -1 14 -13 -7.5 11.2583
578 -2 14 -12 -8 10.3923
579 -3 14 -11 -8.5 9.52628
580 -4 14 -10 -9 8.66025
581 -5 14 -9 -9.5 7.79423
582 -6 14 -8 -10 6.9282
583 -7 14 -7 -10.5 6.06218
584 -8 14 -6 -11 5.19615
585 -9 14 -5 -11.5 4.33013
586 -10 14 -4 -12 3.4641
587 -11 14 -3 -12.5 2.59808
588 -12 14 -2 -13 1.73205
589 -13 14 -1 -13.5 0.866025
590 -14 14 0 -14 0
591 -14 13 1 -13.5 -0.866025
592 -14 12 2 -13 -1.73205
593 -14 11 3 -12.5 -2.59808
594 -14 10 4 -12 -3.4641
595 -14 9 5 -11.5 -4.33013
596 -14 8 6 -11 -5.19615
597 -14 7 7 -10.5 -6.06218
598 -14 6 8 -10 -6.9282
599 -14 5 9 -9.5 -7.79423
600 -14 4 10 -9 -8.66025
601 -14 3 11 -8.5 -9.52628
602 -14 2 12 -8 -10.3923
603 -14 1 13 -7.5 -11.2583
604 -14 0 14 -7 -12.1244
605 -13 -1 14 -6 -12.1244
606 -12 -2 14 -5 -12.1244
607 -11 -3 14 -4 -12.1244
608 -10 -4 14 -3 -12.1244
609 -9 -5 14 -2 -12.1244
610 -8 -6 14 -1 -12.1244
611 -7 -7 14 0 -12.1244
612 -6 -8 14 1 -12.1244
613 -5 -9 14 2 -12.1244
614 -4 -10 14 3 -12.1244
615 -3 -11 14 4 -12.1244
616 -2 -12 14 5 -12.1244
617 -1 -13 14 6 -12.1244
618 0 -14 14 7 -12.1244
619 1 -14 13 7.5 -11.2583
620 2 -14 12 8 -10.3923
621 3 -14 11 8.5 -9.52628
622 4 -14 10 9 -8.66025
623 5 -14 9 9.5 -7.79423
624 6 -14 8 10 -6.9282
625 7 -14 7 10.5 -6.06218
626 8 -14 6 11 -5.19615
627 9 -14 5 11.5 -4.33013
628 10 -14 4 12 -3.4641
629 11 -14 3 12.5 -2.59808
630 12 -14 2 13 -1.73205
631 13 -14 1 13.5 -0.866025
632 15 -15 0 15 0
633 15 -14 -1 14.5 0.866025
634 15 -13 -2 14 1.73205
635 15 -12 -3 13.5 2.59808
636 15 -11 -4 13 3.4641
637 15 -10 -5 12.5 4.33013
