  2     -9.693    -0.2966       1681
  3     -9.183     -0.281       1682
  4     -8.673    -0.2654       1683
  5     -8.163    -0.2498       1684
  6     -7.652    -0.2342       1685
  7     -7.142    -0.2186       1686
  8     -6.632     -0.203       1687
  9     -6.122    -0.1874       1688
 10     -5.612    -0.1718       1689
 11     -5.102    -0.1561       1690
 12     -4.591    -0.1405       1691
 13     -4.081    -0.1249       1692
 14     -3.571    -0.1093       1693
 15     -3.061   -0.09372       1694
 16     -2.551   -0.07811       1695
 17     -2.041    -0.0625       1696
 18      -1.53   -0.04689       1697
 19      -1.02   -0.03128       1698
 20    -0.5101   -0.01568       1699
 21  1.276e-05 -6.832e-05       1700
 22     0.5102    0.01554       1701
 23       1.02    0.03115       1702
 24       1.53    0.04676       1703
 25      2.041    0.06236       1704
 26      2.551    0.07797       1705
 27      3.061    0.09358       1706
 28      3.571     0.1092       1707
 29      4.081     0.1248       1708
 30      4.591     0.1404       1709
 31      5.102      0.156       1710
 32      5.612     0.1716       1711
 33      6.122     0.1872       1712
 34      6.632     0.2028       1713
 35      7.142     0.2184       1714
 36      7.652     0.2341       1715
 37      8.163     0.2497       1716
 38      8.673     0.2653       1717
 39      9.183     0.2809       1718
 40      9.693     0.2965       1719
 41       10.2     0.3121       1720
  1      -10.2     0.3122       1680
  2     -9.693     0.2966       1681
  3     -9.183     0.2809       1682
  4     -8.673     0.2653       1683
  5     -8.163     0.2497       1684
  6     -7.652     0.2341       1685
  7     -7.142     0.2185       1686
  8     -6.632     0.2029       1687
  9     -6.122     0.1873       1688
 10     -5.612     0.1717       1689
 11     -5.102     0.1561       1690
 12     -4.591     0.1405       1691
 13     -4.081     0.1249       1692
 14     -3.571     0.1093       1693
 15     -3.061    0.09365       1694
 16     -2.551    0.07804       1695
 17     -2.041    0.06243       1696
 18      -1.53    0.04682       1697
 19      -1.02    0.03121       1698
 20    -0.5101    0.01561       1699
 21  1.302e-05 -1.628e-06       1700
 22     0.5102   -0.01561       1701
 23       1.02   -0.03122       1702
 24       1.53   -0.04683       1703
 25      2.041   -0.06243       1704
 26      2.551   -0.07804       1705
 27      3.061   -0.09365       1706
 28      3.571    -0.1093       1707
 29      4.081    -0.1249       1708
 30      4.591    -0.1405       1709
 31      5.102    -0.1561       1710
 32      5.612    -0.1717       1711
 33      6.122    -0.1873       1712
 34      6.632    -0.2029       1713
 35      7.142    -0.2185       1714
 36      7.652    -0.2341       1715
 37      8.163    -0.2497       1716
 38      8.673    -0.2653       1717
 39      9.183    -0.2809       1718
 40      9.693    -0.2966       1719
 41       10.2    -0.3122       1720
  1     -10.21     0.9368       1680
  2     -9.698       0.89       1681
  3     -9.187     0.8431       1682
  4     -8.677     0.7963       1683
  5     -8.166     0.7494       1684
  6     -7.656     0.7026       1685
  7     -7.146     0.6557       1686
  8     -6.635     0.6089       1687
  9     -6.125     0.5621       1688
